1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,X,X,X,X,X,2,1,1,1
1,1,1,1,2,1,1,1,1,1,1,1,1,1,X,X,2,1,1,1,X,X,X,X
X,2,2,1,1,X,X,X,X,X,X,X,X,X,X,2,X,X,2,2,1,X,2,1
1,X,1,X,X,X,X,X,X,X,X,2,2,2,X,X,X,X,X,1,1,1,2,1
X,2,X,X,X,X,2,2,2,2,2,2,2,1,2,1,2,X,2,2,2,2,2,2
1,1,1,1,1,X,X,X,X,1,1,X,1,X,1,1,1,X,1,1,1,X,1,1
X,2,X,1,1,X,X,X,2,X,X,X,1,2,X,X,X,X,X,X,X,2,1,X
1,1,1,1,1,1,X,1,1,X,1,1,1,1,X,1,X,1,2,X,1,X,1,1
1,1,X,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,X,1,X,X
X,1,X,X,1,X,2,X,X,2,X,X,X,X,1,1,2,X,1,1,1,X,X,1
2,X,2,X,X,1,X,1,X,X,1,1,2,1,1,X,1,X,X,X,1,X,2,X
1,2,1,X,X,X,2,2,2,2,2,2,2,2,2,2,2,1,2,2,X,2,2,2
X,X,X,2,1,1,X,2,1,X,2,2,1,2,1,X,X,1,X,X,X,1,1,X
